"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-30T12:00:00","4","FM-12","99999","V020","99999,9,10050,1","+0336,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-02T03:00:00","4","FM-12","99999","V020","99999,9,10078,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-02T06:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0352,1","290,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-02T12:00:00","4","FM-12","99999","V020","99999,9,10043,1","+0344,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-03T03:00:00","4","FM-12","99999","V020","99999,9,10091,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-03T06:00:00","4","FM-12","99999","V020","99999,9,10092,1","+0350,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-03T09:00:00","4","FM-12","99999","V020","99999,9,10068,1","+0362,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-03T12:00:00","4","FM-12","99999","V020","99999,9,10059,1","+0340,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-04T03:00:00","4","FM-12","99999","V020","99999,9,10105,1","+0288,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-04T06:00:00","4","FM-12","99999","V020","99999,9,10103,1","+0348,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-04T09:00:00","4","FM-12","99999","V020","99999,9,10079,1","+0362,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-04T12:00:00","4","FM-12","99999","V020","99999,9,10068,1","+0338,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-05T06:00:00","4","FM-12","99999","V020","99999,9,10083,1","+0352,1","999,9,V,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-05T09:00:00","4","FM-12","99999","V020","99999,9,10062,1","+0364,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-06T03:00:00","4","FM-12","99999","V020","99999,9,10083,1","+0308,1","999,9,C,0000,1"
